dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
electricity/15T/short,DLinear-t,279822.93893018016,279366.50651463965,84.80438450168919,1.536496807319785,0.2711215349359943,0.23195504472062395,21.360710354236144,528.9829287700882,1.0427296269754338,0.16716615869424606,0.14512181098992294,Energy,1
electricity/15T/medium,DLinear-t,306023.4605247748,306645.84016666666,59.807261402027024,0.9226782008243981,0.16291232216122806,0.15065926601650478,8.366721702833676,553.193872457726,0.9532087673396181,0.10305393598397279,0.08487245570135252,Energy,1
electricity/15T/long,DLinear-t,457627.37276126124,458688.5452762763,73.07087570382883,1.0599834050781738,0.18709536475529023,0.16838239460163287,9.163461694590644,676.4816130252627,1.0672327053699209,0.11527826752363515,0.0933851315546407,Energy,1
saugeen/D/short,DLinear-t,1256.3521875,1245.3241666666668,14.726627604166667,3.2703437370682082,0.3799725341796875,0.4060724131266276,44.63723625918232,35.44505871768306,1.1480738971974995,0.47699897694504595,0.41214105578792476,Nature,1
bitbrains_rnd/H/short,DLinear-t,1938771.0927922935,1960812.560760411,221.81755892758196,6.080249758735951,4.04007742694026,0.6381831046570638,204.2030916197544,1392.3976058555593,6.0938131617168425,0.9707821633765582,0.7874763232129114,Web/CloudOps,2
bitbrains_rnd/5T/short,DLinear-t,1720056.814865395,1719788.572691096,140.68635053518963,2.1560777340320336,1.7972633312051731,0.6765444046476392,60.40742343435325,1311.5093651458974,5.366317705062937,0.5756479319182697,0.5097585257805448,Web/CloudOps,2
bitbrains_rnd/5T/medium,DLinear-t,2067567.2374858544,2063225.9521641836,192.09625022335294,4.78158072306998,2.2225452777940613,0.7988780824066836,166.2711678942655,1437.9037650294454,6.049994420248131,0.8082468870773664,0.6998596278834329,Web/CloudOps,2
bitbrains_rnd/5T/long,DLinear-t,2820124.907531612,2816001.808908922,242.1962510043479,3.762247118734536,4.0696668661535425,0.8009471276718504,122.55432761871378,1679.3227526391738,6.433107118805003,0.927799271483299,0.8233286895561761,Web/CloudOps,2
m_dense/D/short,DLinear-t,12653.303703703703,12767.232592592592,60.340891203703706,0.8790362237610259,0.15554470234751436,0.1284245017722801,8.386490510544695,112.48690458761723,0.19473147083396708,0.10445900826062111,0.08414833854464726,Transport,1
saugeen/W/short,DLinear-t,1407.612109375,1396.7091796875,18.84807434082031,1.5288603627242883,0.5132719039916992,0.5468358993530273,20.10800033327049,37.518157062614364,1.1325167682328645,0.5689447966288558,0.48948437794359695,Nature,1
jena_weather/H/short,DLinear-t,1281.5060568086883,1289.1976817042607,11.559969259085213,0.621079845391268,4.889473093368514,0.6335272792985067,6.784965994316772,35.79812923615825,0.21944022764840468,0.07086186736428611,0.07388595554297567,Nature,21
jena_weather/H/medium,DLinear-t,1850.2962301587302,1880.8535714285715,17.12574714781746,0.9687411679006482,12.251066005554549,0.7067562527126736,9.540867492744699,43.015069803020545,0.26321684098042647,0.10479548410174892,0.10732242724149633,Nature,21
jena_weather/H/long,DLinear-t,2355.4489417989416,2366.0126984126982,20.512595072751324,1.185794073063782,14.317901390008059,0.6876758070849868,10.050720123456278,48.53296757667866,0.2922222357323013,0.12350854876863465,0.11859978983420404,Nature,21
bitbrains_fast_storage/H/short,DLinear-t,2256432.620894704,2272391.101423198,282.9777138009922,1.3163530031189323,4.550504270502564,0.627046607104988,23.891860584179305,1502.142676610549,4.28159443795648,0.8065783792321425,0.6199745754536258,Web/CloudOps,2
kdd_cup_2018/D/short,DLinear-t,2865.2563335328146,2852.843730259658,21.13310337783222,1.2110613572949223,0.521635721002347,0.47338520696611985,12.481978936486172,53.528089201211124,1.1990860548306945,0.47340396292495923,0.3939072806549396,Nature,1
sz_taxi/H/short,DLinear-t,7.9678282126402245,7.976388262887286,1.9748475164429755,0.6010257172968383,1.2720764681824253,0.3200580564319578,4.798123551806809,2.822734173215789,0.2629551070108749,0.18396923271907564,0.14678678000960166,Transport,1
ett1/15T/short,DLinear-t,6.802619861421131,6.836323474702381,1.321455310639881,0.8449658711295975,0.5294520984170265,0.285681878952753,6.878859769296895,2.608183249202619,0.4930552001356725,0.24981005949527801,0.20026389081215562,Energy,7
ett1/15T/medium,DLinear-t,10.119540550595238,10.112865203373016,1.7668887958829365,1.1135705890090926,0.7483535178383268,0.42907257564484125,8.033299693585755,3.1811225299562476,0.6063250995211146,0.33677075149356106,0.2651098533297194,Energy,7
ett1/15T/long,DLinear-t,10.270480530753968,10.30788318452381,1.8544842819940477,1.1880053508390203,0.8665879602477187,0.4507804749503968,8.52201143188328,3.204759044102063,0.6108302424877362,0.35346653775573006,0.2764878649767052,Energy,7
m4_monthly/M/short,DLinear-t,2176366.4019444445,2183430.739222222,603.6234675925926,0.9900741900097482,0.17411089460938065,0.13881479561770405,8.776763956926398,1475.2513012854604,0.3066078648737738,0.12545367858682968,0.10082235097708343,Econ/Fin,1
electricity/W/short,DLinear-t,183846396597.73694,187373983592.7063,46422.32027027027,1.9086513990017933,0.2728780122174061,0.12194894412616351,15.351546181137744,428773.1295192563,0.9783187859666723,0.10592041544088228,0.07888942899943596,Energy,1
bitbrains_fast_storage/5T/short,DLinear-t,1777130.9467331283,1780870.04516473,178.18176709451805,1.0551124836910903,2.5726409327396005,0.7402382976005221,18.303001250814987,1333.0907496240188,4.1855752590744855,0.5594466814651055,0.4590012114999089,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,DLinear-t,2976067.597670941,2985487.230639377,301.6033282062048,1.222448289107873,5.43764418573872,0.8348637860199556,25.7193430948261,1725.12828440987,5.241416219205628,0.9163542158067208,0.726859380461413,Web/CloudOps,2
bitbrains_fast_storage/5T/long,DLinear-t,3245488.6782528837,3248447.30619195,338.96622728818625,1.1669625582936878,4.35879618653093,0.8596185686287757,20.188535901249463,1801.5239876984385,4.76089009673635,0.8957865483024273,0.7145787800653941,Web/CloudOps,2
hospital/M/short,DLinear-t,2840.0273794002605,2963.768687527162,18.641572278357238,0.7793728518140002,0.1994463851378307,0.1770652562107847,5.6573493359902916,53.29190725992325,0.19346199848950693,0.0676732362076616,0.055262087063253695,Healthcare,1
us_births/W/short,DLinear-t,6001075.428571428,5911400.0,1791.5298549107142,1.6295658234498873,0.024168176310403005,0.024249798485210965,11.317815863718257,2449.7092538853317,0.03325456291665945,0.02431984211298197,0.019324065563106594,Healthcare,1
us_births/M/short,DLinear-t,26397797.333333332,27512229.333333332,3920.86328125,0.44304322247890043,0.012161729236443838,0.012138312061627706,4.185073483327922,5137.878680285603,0.015958216151352782,0.012178174619454363,0.010148878916925222,Healthcare,1
jena_weather/10T/short,DLinear-t,1769.627380952381,1758.626984126984,12.246027095734126,0.4117204822303204,0.5807118137527416,0.6349034869481647,5.638741085902583,42.066939286717556,0.2612884163653973,0.0760631764722284,0.07328069735456512,Nature,21
jena_weather/10T/medium,DLinear-t,1800.1477633477634,1797.5258297258297,15.043620355339105,0.7475261772080602,1.5999552632896186,0.6795324900793651,7.859509900624191,42.42814824320953,0.2603808204454887,0.0923224409450998,0.09281830459927926,Nature,21
jena_weather/10T/long,DLinear-t,1396.2013227513228,1397.1219576719577,11.35294208829365,0.7020661985577816,1.0171902417034777,0.6609279410548942,7.1847386166915825,37.365777427364236,0.2286475992427312,0.06947059934390908,0.05999687181553454,Nature,21
electricity/D/short,DLinear-t,3370489265.733189,3485287638.099027,5904.648036036036,1.704984648053858,0.5316249561282196,0.11437904701576576,15.035282565826018,58055.914993505954,0.9540515327828781,0.09703298122084077,0.07601420330031447,Energy,1
bizitobs_application/10S/short,DLinear-t,4645684.053333334,4680398.506666667,926.2490277777778,3.25653781503139,0.04649354722764757,0.04682816399468316,26.322271572437344,2155.384896795311,0.08312458014974321,0.03572172267821521,0.02912910187561998,Web/CloudOps,2
bizitobs_application/10S/medium,DLinear-t,4367968.0,4351006.293333333,1165.74125,2.56048367443566,0.03700661341349284,0.03778692881266276,37.554029806055446,2089.968420814056,0.08206690874077052,0.045775227905997806,0.04095867091367396,Web/CloudOps,2
bizitobs_application/10S/long,DLinear-t,5092592.071111111,5064009.386666667,1373.7579166666667,3.1955834370030134,0.04539669884575738,0.046282899644639754,32.393826777565074,2256.6772190792176,0.08703102014325023,0.052980351778509786,0.0451154220173078,Web/CloudOps,2
us_births/D/short,DLinear-t,282295.25333333336,283037.06666666665,357.3465885416667,0.525805116519628,0.03419485410054525,0.033641510009765625,4.819618938994105,531.3146462627709,0.049806436717456416,0.033498342975467436,0.027058365520515666,Healthcare,1
restaurant/D/short,DLinear-t,151.00479826281872,150.65499206126833,7.558838734297656,0.7230042987198343,0.7323968612458556,0.4115749425755347,5.290892523122046,12.28840096443873,0.5655406843224334,0.3478752722057572,0.2740361523716299,Sales,1
hierarchical_sales/D/short,DLinear-t,29.228467341876808,29.092676467548575,2.379651328028111,0.7759027567838462,0.6439006496072572,1.0598781779661017,9.248519493914978,5.406335851746246,1.6586039677578879,0.7300506743902903,0.6101739960308611,Sales,1
solar/D/short,DLinear-t,154873.91143552313,155801.94257907543,294.1770072992701,1.1462725743526547,1.08481599756691,0.4887529284994678,6.810318260364136,393.5402284843611,0.5685315886361277,0.424985577571575,0.3314502762121945,Energy,1
solar/H/short,DLinear-t,781.5216797125112,782.2985757619414,12.7200075790204,0.9809688252601378,5.502220238275757,1.4392073273694055,10.964182853062733,27.95570925075075,1.030456740718256,0.4688637098855533,0.3768027698123228,Energy,1
solar/H/medium,DLinear-t,816.2582116788321,822.9574817518248,13.46318050486618,1.0284323767867238,5.926705206651901,1.4211239260188564,9.325782281751781,28.570232965078045,1.0291664746521965,0.484975185002362,0.41098427856006264,Energy,1
solar/H/long,DLinear-t,782.1906731549067,783.3128953771289,17.3319697891322,1.320848732402986,6.6958642950601135,1.440361415247364,12.514833914240914,27.96767192947791,0.9696901554287117,0.6009309792065728,0.504299876481797,Energy,1
hierarchical_sales/W/short,DLinear-t,495.6261586334746,491.66770391949154,10.427109540519067,0.837707276350689,0.6982164255847157,0.5343188269663666,7.926163746976285,22.262662882806147,1.0220897424280035,0.4787136992838645,0.41180244504723323,Sales,1
ett2/W/short,DLinear-t,8074248.0,7668914.285714285,2005.283203125,1.3775599514477082,0.203120299748012,0.2316598892211914,10.757451886487507,2841.5221273113466,0.23836014329214433,0.16821251787698388,0.13110847538818027,Energy,7
bizitobs_service/10S/short,DLinear-t,22199.82476190476,22014.150264550266,47.50224289021164,2.0209756198423703,0.23450145822353463,0.09637785089079035,20.833329514828137,148.9960561958093,0.11038104495903746,0.03519118117615683,0.028996219328602944,Web/CloudOps,2
bizitobs_service/10S/medium,DLinear-t,82637.86666666667,81833.4273015873,55.27925595238095,1.2400805357574136,0.15587388780381944,0.10183926052517361,13.708584014863394,287.4680272076647,0.21635521149209444,0.0416044706914944,0.03520413469705465,Web/CloudOps,2
bizitobs_service/10S/long,DLinear-t,130604.9964021164,130482.08931216931,75.23489417989418,1.3879837172765708,0.16709423569775134,0.11175378224206349,21.629388599870147,361.39313275450655,0.26773158619259224,0.055736414807576934,0.05166772271911727,Web/CloudOps,2
m4_weekly/W/short,DLinear-t,399727.2423398329,399650.39297193056,321.2730072851939,2.503033638708497,0.08573227958605635,0.08806321573431139,19.502287524793495,632.2398613974232,0.11518430471108644,0.058530963050625044,0.04737908178677687,Econ/Fin,1
electricity/H/short,DLinear-t,2105821.1137837837,2117088.177657658,223.52120653856983,1.2188395052912107,0.36046940376557374,0.16853516793465828,14.193364100144638,1451.14475976168,0.6850439616703564,0.10551797249343124,0.09078229240209494,Energy,1
electricity/H/medium,DLinear-t,10244604.962522522,10377281.821621621,326.3480475788288,1.318517716868936,0.31156665935433114,0.16625120420713682,11.684937898005986,3200.719444519079,1.2493462216637374,0.1273843919335483,0.10228163545825754,Energy,1
electricity/H/long,DLinear-t,12040069.90721922,12117862.81821021,347.66623423423425,1.4306637980182382,0.3867528542287416,0.1821408860031907,13.089897415007629,3469.880388027694,1.3685198181889138,0.1371194619002703,0.11163266655585143,Energy,1
